Week, Average Max DewpointC, Average Mean DewpointC, Average Min DewpointC
1,23.5,22.7,21.5
2,23.5,22.7,19.4
3,23.1,22.7,22
4,23,22.2,21.4
5,24.1,22.5,21.7
6,24,22.7,21.5
7,23.8,23.1,22.1
8,23.4,22.2,21.5
9,23.5, 22.55,21.5
10,22.7,22,21
11,23,22.1,21
12,23.5,22.7,21.7
13,23.8,22.7,22
14,23.8,22.8,19.5
15,24,23.1,22.8
16,24,23.1,22.4
17,25.1,24,23.2
18,24.4,23,22.5
19,24.1,23.2,22.7
20,24.4,23.5,23
21,24.5,23.5,22.8
22,25.2,24.1,23.8
23,25.8,24.4,23.4
24,26,24.4,23.8
25,26,24.5,22.8
26,25.8,24.5,23.8
27,25.8,25.1,24
28,26.5,25,23.8
29,25.8,24.5,23.5
30,26,24.4,21
31,26.7,25.7,23.8
32,26.2,24.8,23.8
33,25.2,23.8,22.7
34,25.4,24.1,23.4
35,25.7,24.8,23.5
36,25.1,24.2,23.4
37,25.7,24.5,23.7
38,25.8,25.4,24.2
39,25.7,24.7,24
40,26,24.7,23.5
41,25.1,24,23.5
42,25.5,24.4,23.7
43,25.4,24.4,22.5
44,25.4,24,23.1
45,25.2,24.1,22.8
46,24.5,23.2,22.5
47,24.4,23.7,23
48,25.2,24.1,23.4
49,24.4,23.5,22.8
50,24.2,23.5,23.2
51,24.2,23,19.4
52,23.5,22.8,22.1
